date, pm25, pm10, o3, so2, co
2020/5/1, 33, , 43, , 
2020/5/2, 41, , 39, , 
2020/5/3, 29, , 29, , 
2020/5/4, 18, , 31, , 
2020/5/5, 17, , 35, , 
2020/5/6, 24, , 39, , 
2020/5/7, 28, , 27, , 
2020/5/8, 23, , 31, , 
2020/5/9, 20, , 32, , 
2020/5/10, 29, , 21, , 
2020/5/11, 17, , 37, , 
2020/5/12, 24, , 38, , 
2020/5/13, 27, , 26, , 
2020/5/14, 30, , 36, , 
2020/5/15, 25, , 34, , 
2020/5/16, 36, , 24, , 
2020/5/17, 33, , , , 
2020/4/1, 27, , 34, , 
2020/4/2, 32, , 36, , 
2020/4/3, 42, , 28, , 
2020/4/4, 52, , 28, , 
2020/4/5, 36, , 34, , 
2020/4/6, 45, , 36, , 
2020/4/7, 41, , 34, , 
2020/4/8, 29, , 34, , 
2020/4/9, 17, , 31, , 
2020/4/10, 24, , 36, , 
2020/4/11, 29, , 31, , 
2020/4/12, 36, , 32, , 
2020/4/13, 27, , 31, , 
2020/4/14, 30, , 30, , 
2020/4/15, 33, , 32, , 
2020/4/16, 30, , 28, , 
2020/4/17, 35, , 37, , 
2020/4/18, 45, , 33, , 
2020/4/19, 42, , 36, , 
2020/4/20, 27, , 31, , 
2020/4/21, 19, , 28, , 
2020/4/22, 25, , 24, , 
2020/4/23, 52, , 30, , 
2020/4/24, 57, , 33, , 
2020/4/25, 43, , 34, , 
2020/4/26, 23, , 35, , 
2020/4/27, 34, , 39, , 
2020/4/28, 42, , 35, , 
2020/4/29, 29, , 26, , 
2020/4/30, 17, , 38, , 
2020/3/1, 41, , 28, , 
2020/3/2, 28, , 27, , 
2020/3/3, 30, , 30, , 
2020/3/4, 21, , 27, , 
2020/3/5, 36, , 25, , 
2020/3/6, 27, , 30, , 
2020/3/7, 34, , 32, , 
2020/3/8, 28, , 30, , 
2020/3/9, 48, , 25, , 
2020/3/10, 40, , 19, , 
2020/3/11, 55, , 18, , 
2020/3/12, 52, , 31, , 
2020/3/13, 27, , 25, , 
2020/3/14, 35, , 32, , 
2020/3/15, 30, , 19, , 
2020/3/16, 25, , 28, , 
2020/3/17, 38, , 17, , 
2020/3/18, 50, , 18, , 
2020/3/19, 49, , 26, , 
2020/3/20, 46, , 30, , 
2020/3/23, 37, , 29, , 
2020/3/24, 47, , 30, , 
2020/3/25, 53, , 27, , 
2020/3/26, 54, , 20, , 
2020/3/27, 45, , 22, , 
2020/3/28, 29, , 31, , 
2020/3/29, 20, , 28, , 
2020/3/30, 19, , 20, , 
2020/3/31, 24, , 22, , 
2020/2/1, 54, , , , 
2020/2/2, 33, , , , 
2020/2/3, 33, , , , 
2020/2/4, 34, , , , 
2020/2/5, 20, , , , 
2020/2/6, 34, , , , 
2020/2/7, 20, , , , 
2020/2/8, 49, , , , 
2020/2/9, 53, , , , 
2020/2/10, 40, , , , 
2020/2/11, 44, , , , 
2020/2/12, 42, , , , 
2020/2/13, 43, , , , 
2020/2/14, 21, , , , 
2020/2/15, 51, , , , 
2020/2/16, 45, , , , 
2020/2/17, 32, , , , 
2020/2/18, 39, , , , 
2020/2/19, 25, , , , 
2020/2/20, 26, , , , 
2020/2/21, 28, , , , 
2020/2/22, 34, , , , 
2020/2/23, 45, , , , 
2020/2/24, 64, , , , 
2020/2/25, 30, , 27, , 
2020/2/26, 21, , 29, , 
2020/2/27, 18, , 30, , 
2020/2/28, 29, , 32, , 
2020/2/29, 22, , 28, , 
2020/1/1, 31, , , , 
2020/1/2, 26, , , , 
2020/1/3, 49, , , , 
2020/1/4, 30, , , , 
2020/1/5, 25, , , , 
2020/1/6, 17, , , , 
2020/1/7, 33, , , , 
2020/1/8, 25, , , , 
2020/1/9, 30, , , , 
2020/1/10, 27, , , , 
2020/1/11, 25, , , , 
2020/1/12, 27, , , , 
2020/1/13, 40, , , , 
2020/1/14, 41, , , , 
2020/1/15, 59, , , , 
2020/1/16, 34, , , , 
2020/1/17, 21, , , , 
2020/1/18, 18, , , , 
2020/1/19, 38, , , , 
2020/1/20, 22, , , , 
2020/1/21, 27, , , , 
2020/1/22, 57, , , , 
2020/1/23, 67, , , , 
2020/1/24, 52, , , , 
2020/1/25, 27, , , , 
2020/1/26, 36, , , , 
2020/1/27, 21, , , , 
2020/1/28, 19, , , , 
2020/1/29, 23, , , , 
2020/1/30, 35, , , , 
2020/1/31, 47, , , , 
2019/10/1, 38, , 13, , 
2019/10/2, 29, , 13, , 
2019/10/3, 20, , 20, , 
2019/10/4, 17, , 24, , 
2019/10/5, 42, , 24, , 
2019/10/6, 38, , 24, , 
2019/10/7, 22, , 28, , 
2019/10/8, 32, , 27, , 
2019/10/9, 38, , 32, , 
2019/10/10, 31, , 18, , 
2019/10/11, 22, , 27, , 
2019/10/12, 31, , 30, , 
2019/10/13, 22, , 19, , 
2019/10/14, 25, , , , 
2019/10/16, 18, , 22, , 
2019/10/17, 25, , 21, , 
2019/10/18, 39, , 27, , 
2019/10/19, 56, , 27, , 
2019/10/20, 73, , 24, , 
2019/10/21, 49, , 22, , 
2019/10/22, 20, , 25, , 
2019/10/23, 25, , 24, , 
2019/10/24, 24, , 13, , 
2019/10/25, 32, , 16, , 
2019/10/26, 46, , 24, , 
2019/10/27, 32, , 29, , 
2019/10/28, 41, , 13, , 
2019/10/29, 44, , 13, , 
2019/10/30, 20, , 16, , 
2019/10/31, 9, , 16, , 
2019/11/1, 33, , , , 
2019/11/2, 27, , , , 
2019/11/3, 25, , , , 
2019/11/4, 27, , , , 
2019/11/5, 24, , , , 
2019/11/6, 55, , , , 
2019/11/7, 21, , , , 
2019/11/8, 23, , , , 
2019/11/9, 41, , , , 
2019/11/10, 55, , , , 
2019/11/11, 24, , , , 
2019/11/12, 20, , , , 
2019/11/13, 40, , , , 
2019/11/14, 57, , , , 
2019/11/15, 66, , , , 
2019/11/16, 23, , , , 
2019/11/17, 39, , , , 
2019/11/18, 64, , , , 
2019/11/19, 75, , , , 
2019/11/20, 66, , , , 
2019/11/21, 53, , , , 
2019/11/22, 26, , , , 
2019/11/23, 34, , , , 
2019/11/24, 64, , , , 
2019/11/25, 52, , , , 
2019/11/26, 62, , , , 
2019/11/27, 33, , , , 
2019/11/28, 20, , , , 
2019/11/29, 13, , , , 
2019/11/30, 30, , , , 
2019/12/1, 24, , , , 
2019/12/2, 19, , , , 
2019/12/3, 36, , , , 
2019/12/4, 41, , , , 
2019/12/5, 28, , , , 
2019/12/6, 30, , , , 
2019/12/7, 35, , , , 
2019/12/8, 55, , , , 
2019/12/9, 33, , , , 
2019/12/10, 27, , , , 
2019/12/11, 40, , , , 
2019/12/12, 53, , , , 
2019/12/13, 56, , , , 
2019/12/14, 71, , , , 
2019/12/15, 37, , , , 
2019/12/16, 51, , , , 
2019/12/17, 37, , , , 
2019/12/18, 39, , , , 
2019/12/19, 40, , , , 
2019/12/20, 54, , , , 
2019/12/21, 79, , , , 
2019/12/22, 65, , , , 
2019/12/23, 76, , , , 
2019/12/24, 65, , , , 
2019/12/25, 56, , , , 
2019/12/26, 60, , , , 
2019/12/27, 39, , , , 
2019/12/28, 58, , , , 
2019/12/29, 56, , , , 
2019/7/1, 37, 25, 42, , 
2019/7/2, 31, 13, 46, 5, 
2019/7/3, 33, 22, 40, 4, 
2019/7/4, 57, 20, 38, , 
2019/7/5, 39, 12, 34, , 
2019/7/6, 38, , 29, , 
2019/7/7, 50, 10, 36, 6, 
2019/7/8, 27, 21, 52, 10, 
2019/7/9, 45, 28, 47, 1, 
2019/7/10, 37, 22, 37, , 
2019/7/11, 33, 12, 35, , 
2019/7/12, 28, 28, 44, , 
2019/7/13, 44, 12, 34, 1, 
2019/7/14, 37, , 51, 6, 
2019/7/15, 40, 27, 22, , 
2019/7/16, 36, 14, 30, 3, 
2019/7/17, 25, 24, 33, 2, 
2019/7/18, 36, 25, 25, , 
2019/7/19, 33, 22, 32, , 
2019/7/20, 24, 9, 32, , 
2019/7/21, 23, 10, 25, , 
2019/7/22, 25, 15, 25, , 
2019/7/23, 33, 13, 29, , 
2019/7/24, 25, 21, 38, , 
2019/7/25, 36, 26, 47, 5, 
2019/7/26, 44, 41, 45, , 
2019/7/27, 50, 29, 43, , 
2019/7/28, 46, 35, 33, , 
2019/7/29, 45, 12, 33, , 
2019/7/30, 31, 7, 32, 2, 
2019/7/31, 20, 11, 39, 2, 
2019/8/1, 24, 16, 41, 4, 
2019/8/2, 27, 23, 36, 1, 
2019/8/3, 35, 17, 33, , 
2019/8/4, 38, 19, 42, , 
2019/8/5, 46, , 36, , 
2019/8/6, 37, 15, 32, , 
2019/8/7, 31, 14, 30, , 
2019/8/8, 29, 13, 18, , 
2019/8/9, 29, , , , 
2019/8/13, 35, 11, 13, , 
2019/8/14, 32, 12, 30, 2, 
2019/8/15, 23, 15, 35, , 
2019/8/16, 32, 15, 34, , 
2019/8/17, 29, 15, 31, , 
2019/8/18, 29, 14, 32, , 
2019/8/19, 26, 15, 39, 7, 
2019/8/20, 34, , 39, , 
2019/8/21, 27, , 26, , 
2019/8/22, 25, , 22, , 
2019/8/23, 20, , 26, , 
2019/8/24, 22, , 27, , 
2019/8/25, 22, , 25, , 
2019/8/26, 27, , 29, , 
2019/8/27, 18, , 28, , 
2019/8/28, 29, , 30, , 
2019/8/29, 22, , 28, , 
2019/8/30, 20, , 27, , 
2019/8/31, 27, , 20, , 
2019/9/1, 28, , 29, , 
2019/9/2, 33, , 26, , 
2019/9/3, 35, , 23, , 
2019/9/4, 24, , 32, , 
2019/9/5, 32, , 28, , 
