,year,AA_pop,AA_per,US_pop,US_per
0,1860,5097,,31443321,35.58
1,1870,7363,44.5,38558371,22.63
2,1880,8061,9.5,50189209,30.16
3,1890,9431,17.0,62979766,25.48
4,1900,14509,53.8,76212168,21.01
5,1910,14817,2.1,92228496,21.02
6,1920,19516,31.7,106021537,14.96
7,1930,26944,38.1,123202624,16.21
8,1940,29815,10.7,132164569,7.27
9,1950,48251,61.8,151325798,14.5
10,1960,67340,39.6,179323175,18.5
11,1970,100035,48.6,203211926,13.32
12,1980,107969,7.9,226545805,11.48
13,1990,109592,1.5,248709873,9.78
14,2000,114024,4.0,281421906,13.15
15,2010,113934,-0.1,308745538,9.71
16,2020,119980,5.3,332639000,7.74
